alpha,nematic_S,theta,theta_prime,silhouette_2d,angular_momentum,normalized_angular_momentum,dispersion,speed_avg,force_avg,jamming_index,power_avg,local_spacing,velocity_deviation,boundary_overshoot,altitude_deviation,collisions_this_step,target_dist_min,target_dist_max,speed_real_ms,accel_real_ms2,force_real_N,power_real_W,energy_J,h2,r_nodal,r_per_m,m_star_sensing,tau_rho,theta_accel_correlation,theta_accel_peak_lag,theta_accel_correlation_3d,theta_accel_peak_lag_3d,hull_volume,density_rho,msd,msd_slope,msd_crossover,msd_curve,gyration_radius,r_max,psky_meanfield,marginal_opacity_density,aspect_ratio,thickness_ratio,optimal_m,suggested_m,eta_m,convergence_speed
0.03751132965087891,0.046580035239458084,,0.005296296296296296,0.3367,"[-10.84514331817627, 30.399473190307617, 6.577388763427734]",0.0683637335896492,82.01648712158203,4.8743062019348145,1.0,0.0,2.5320396423339844,38.97661075784784,4.869941234588623,0.0,40.60790252685547,0,,,7.262716240882874,40.0,3.0,11.318218231201172,0.18863697052001954,0.9591426582290739,12.7691627609694,3.417908711765677,3,,,,,,,,,,,,80.30438995361328,179.99475165479635,0.914985314211104,0.0015068044450916934,1.1698588132858276,0.8548040390014648,5,9.463213313221932,0.1176480890907019,0.027008280946420493
0.09886301676432292,0.045864928513765335,,0.005296296296296296,0.3357,"[-11.261018753051758, 30.24176025390625, 22.147022247314453]",0.08123686909675598,82.01254272460938,4.96703577041626,1.0,0.0,2.722158670425415,0.0,4.931667327880859,0.0,40.61150360107422,0,,,7.400883297920227,40.0,3.0,12.168050765991211,0.20280084609985352,,,,,,,,,,,,,,,,,,,,,,,,,
0.16423184712727865,0.056512683629989624,,0.005296296296296296,0.3365,"[-11.282234191894531, 30.07391929626465, 36.78608703613281]",0.10136189311742783,82.01634979248047,5.231137275695801,1.0,0.0,3.0987555980682373,0.0,5.129719257354736,0.0,40.61994934082031,0,,,7.794394540786743,40.0,3.0,13.851437759399413,0.23085729598999022,,,,,,,,,,,,,,,,,,,,,,,,,
0.22776405334472657,0.07282739132642746,,0.005296296296296296,0.3371,"[-11.452042579650879, 30.135433197021484, 52.122344970703125]",0.1271914392709732,82.0267105102539,5.650191307067871,1.0,0.0,3.6516544818878174,0.0,5.446231365203857,0.0,40.63267135620117,0,,,8.418785047531127,40.0,3.0,16.3228946685791,0.2720482444763183,,,,,,,,,,,,,,,,,,,,,,,,,
0.28600804646809896,0.08628451824188232,,0.005296296296296296,0.3369,"[-12.018498420715332, 30.060344696044922, 67.76008605957031]",0.15582649409770966,82.0435791015625,6.187157154083252,1.0,0.0,4.38441801071167,0.0,5.84878396987915,0.0,40.649349212646484,0,,,9.218864159584045,40.0,3.0,19.598348236083982,0.32663913726806637,,,,,,,,,,,,,,,,,,,,,,,,,
0.3362466430664062,0.0958435982465744,,0.005296296296296296,0.3365,"[-12.161865234375, 29.566078186035156, 83.4044189453125]",0.18529972434043884,82.06709289550781,6.8083977699279785,1.0,0.0,5.223443031311035,0.0,6.312418460845947,0.0,40.670501708984375,0,,,10.144512677192688,40.0,3.0,23.348789978027344,0.38914649963378906,,,,,,,,,,,,,,,,,,,,,,,,,
0.3768125661214193,0.1041165441274643,,0.0052592592592592595,0.3351,"[-12.445111274719238, 27.79638671875, 98.36817932128906]",0.2135571986436844,82.09614562988281,7.43375825881958,1.0,0.0,6.0630950927734375,0.0,6.767517566680908,0.0,40.69557189941406,0,,,11.076299805641174,40.0,3.0,27.102035522460938,0.4517005920410156,,,,,,,,,,,,,,,,,,,,,,,,,
0.40780291239420574,0.11238709092140198,,0.005185185185185185,0.3361,"[-12.843403816223145, 26.78008270263672, 111.96005249023438]",0.24013543128967285,82.12879943847656,8.0303316116333,1.0,0.0,6.852102279663086,0.0,7.190270900726318,0.0,40.72337341308594,0,,,11.965194101333617,40.0,3.0,30.62889862060547,0.5104816436767579,,,,,,,,,,,,,,,,,,,,,,,,,
0.4300282796223958,0.1194494366645813,,0.005222222222222222,0.3382,"[-12.98957347869873, 24.617321014404297, 123.7283706665039]",0.26280876994132996,82.16458129882812,8.528233528137207,1.0,0.0,7.525932788848877,0.0,7.534197807312012,0.0,40.753047943115234,0,,,12.707067956924439,40.0,3.0,33.640917205810545,0.5606819534301758,,,,,,,,,,,,,,,,,,,,,,,,,
0.4450877888997396,0.12397345155477524,,0.005222222222222222,0.3388,"[-13.105332374572754, 22.12569808959961, 132.99827575683594]",0.28059113025665283,82.20342254638672,8.954316139221191,1.0,0.0,8.101149559020996,0.0,7.830206871032715,0.0,40.78451919555664,0,,,13.341931047439575,40.0,3.0,36.21214141845703,0.6035356903076171,,,,,,,,,,,,,,,,,,,,,,,,,
0.4549366760253906,0.12604351341724396,,0.0052592592592592595,0.3391,"[-13.212072372436523, 19.93614959716797, 139.92149353027344]",0.2938944101333618,82.244140625,9.334122657775879,1.0,0.0,8.604530334472656,0.0,8.097905158996582,0.0,40.816734313964844,0,,,13.90784276008606,40.0,3.0,38.46225128173828,0.6410375213623047,,,,,,,,,,,,,,,,,,,,,,,,,
