alpha,nematic_S,theta,theta_prime,silhouette_2d,angular_momentum,normalized_angular_momentum,dispersion,speed_avg,force_avg,jamming_index,power_avg,local_spacing,velocity_deviation,boundary_overshoot,altitude_deviation,collisions_this_step,target_dist_min,target_dist_max,speed_real_ms,accel_real_ms2,force_real_N,power_real_W,energy_J,h2,r_nodal,r_per_m,m_star_sensing,tau_rho,theta_accel_correlation,theta_accel_peak_lag,theta_accel_correlation_3d,theta_accel_peak_lag_3d,hull_volume,density_rho,msd,msd_slope,msd_crossover,msd_curve,gyration_radius,r_max,psky_meanfield,marginal_opacity_density,aspect_ratio,thickness_ratio,optimal_m,suggested_m,eta_m,convergence_speed
0.1081247615814209,0.05841837823390961,,0.003703703703703704,0.1225,"[47.3762321472168, 37.8636360168457, 16.614261627197266]",0.04595627263188362,358.0804748535156,4.000485420227051,0.0,1.0,0.0,209.10031860405022,3.9698708057403564,7796.089744911349,146.5052490234375,0,,,8.941084914207458,0.0,0.0,0.0,0.0,0.8163637689464773,12.249441217736873,2.824265097184582,3,,,,,,,,,,,,342.07733154296875,1039.5625166204752,0.9836105511539194,0.00016201490403872491,1.485334038734436,0.6732491850852966,6,8.874852017760276,0.07192272081082696,0.06502642300937841
0.10536852836608887,0.056045640259981155,,0.003703703703703704,0.1222,"[190.29226684570312, 100.20059204101562, 132.02606201171875]",0.1844397783279419,358.06610107421875,10.400749206542969,0.0,1.0,0.0,0.0,10.343430519104004,7794.4695643483,146.50393676757812,0,,,23.245674476623535,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10508723258972168,0.052159715443849564,,0.003703703703703704,0.122,"[176.88632202148438, 114.20934295654297, 120.75272369384766]",0.1774146407842636,358.0472717285156,11.040958404541016,0.0,1.0,0.0,0.0,10.970288276672363,7792.324515961553,146.49813842773438,0,,,24.67654203414917,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10773150444030762,0.04939808323979378,,0.003703703703703704,0.122,"[182.27879333496094, 117.63114929199219, 132.9158172607422]",0.1859814077615738,358.02581787109375,10.971216201782227,0.0,1.0,0.0,0.0,10.895809173583984,7789.924593973008,146.4910125732422,0,,,24.520668210983274,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10786782264709473,0.048020169138908386,,0.003703703703703704,0.1222,"[182.47988891601562, 133.9691619873047, 138.0352783203125]",0.19383715093135834,358.0025634765625,10.946425437927246,0.0,1.0,0.0,0.0,10.871761322021484,7787.398394240865,146.4827117919922,0,,,24.465260853767393,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11095623970031739,0.04868600517511368,,0.003703703703703704,0.1222,"[167.94036865234375, 141.8441162109375, 149.24681091308594]",0.1942659616470337,357.9766845703125,10.971709251403809,0.0,1.0,0.0,0.0,10.891265869140625,7784.6483067896825,146.4748992919922,0,,,24.52177017688751,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11034212112426758,0.04939347878098488,,0.003703703703703704,0.1218,"[167.59555053710938, 143.88136291503906, 152.30831909179688]",0.19618794322013855,357.9487609863281,10.971968650817871,0.0,1.0,0.0,0.0,10.892337799072266,7781.71241381454,146.4653778076172,0,,,24.52234993457794,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10771181106567383,0.05162844806909561,,0.003703703703703704,0.1222,"[163.60763549804688, 159.4611053466797, 164.84481811523438]",0.20602159202098846,357.91851806640625,10.972256660461426,0.0,1.0,0.0,0.0,10.896380424499512,7778.552248819869,146.4538116455078,0,,,24.522993636131286,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10727340698242188,0.05136386677622795,,0.003703703703703704,0.122,"[160.97549438476562, 165.5986785888672, 173.77296447753906]",0.2113792896270752,357.8861389160156,10.972468376159668,0.0,1.0,0.0,0.0,10.897315979003906,7775.1909043081405,146.44082641601562,0,,,24.523466820716855,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10705368041992187,0.04954050853848457,,0.003703703703703704,0.122,"[156.9473114013672, 174.3876495361328, 172.59063720703125]",0.21303847432136536,357.8518371582031,10.972681999206543,0.0,1.0,0.0,0.0,10.898212432861328,7771.719835880442,146.42625427246094,0,,,24.52394426822662,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10930912971496581,0.050254613161087036,,0.003703703703703704,0.122,"[142.49765014648438, 195.4068145751953, 188.09646606445312]",0.22412610054016113,357.8154296875,10.972908973693848,0.0,1.0,0.0,0.0,10.894781112670898,7768.0828381296515,146.41041564941406,0,,,24.524451556205747,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.1092875862121582,0.04858923703432083,,0.003703703703703704,0.122,"[133.1731414794922, 212.73011779785156, 191.19073486328125]",0.23082643747329712,357.77716064453125,10.973132133483887,0.0,1.0,0.0,0.0,10.8951997756958,7764.256099214968,146.3931884765625,0,,,24.524950318336487,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10896703720092774,0.04686474800109863,,0.003703703703703704,0.122,"[130.21348571777344, 212.06069946289062, 192.1103973388672]",0.23002779483795166,357.73699951171875,10.973343849182129,0.0,1.0,0.0,0.0,10.895702362060547,7760.258781978424,146.37503051757812,0,,,24.525423502922056,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.1113735580444336,0.044448353350162506,,0.003703703703703704,0.1219,"[123.24694061279297, 216.50152587890625, 202.79312133789062]",0.23507167398929596,357.69451904296875,10.97354507446289,0.0,1.0,0.0,0.0,10.891898155212402,7756.073122804037,146.3554229736328,0,,,24.52587324142456,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11300464630126954,0.044353634119033813,,0.003703703703703704,0.1226,"[116.48311614990234, 231.99786376953125, 193.0086669921875]",0.23675458133220673,357.6502380371094,10.973721504211426,0.0,1.0,0.0,0.0,10.8896484375,7751.70748816169,146.33470153808594,0,,,24.526267561912537,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11193220138549805,0.04498463496565819,,0.003703703703703704,0.1226,"[100.21345520019531, 233.41952514648438, 190.0077362060547]",0.23220109939575195,357.6036376953125,10.913897514343262,0.0,1.0,0.0,0.0,10.831439018249512,7747.166409848453,146.3123321533203,0,,,24.39256094455719,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11193780899047852,0.04637095704674721,,0.003703703703703704,0.1226,"[88.3905258178711, 235.14920043945312, 190.1610107421875]",0.23065727949142456,357.55426025390625,10.914102554321289,0.0,1.0,0.0,0.0,10.831574440002441,7742.407390187535,146.28768920898438,0,,,24.39301920890808,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
