alpha,nematic_S,theta,theta_prime,silhouette_2d,angular_momentum,normalized_angular_momentum,dispersion,speed_avg,force_avg,jamming_index,power_avg,local_spacing,velocity_deviation,boundary_overshoot,altitude_deviation,collisions_this_step,target_dist_min,target_dist_max,speed_real_ms,accel_real_ms2,force_real_N,power_real_W,energy_J,h2,r_nodal,r_per_m,m_star_sensing,tau_rho,theta_accel_correlation,theta_accel_peak_lag,theta_accel_correlation_3d,theta_accel_peak_lag_3d,hull_volume,density_rho,msd,msd_slope,msd_crossover,msd_curve,gyration_radius,r_max,psky_meanfield,marginal_opacity_density,aspect_ratio,thickness_ratio,optimal_m,suggested_m,eta_m,convergence_speed
0.1081247615814209,0.05841837823390961,,0.003703703703703704,0.1225,"[47.3762321472168, 37.8636360168457, 16.614261627197266]",0.04595627263188362,358.0804748535156,4.000485420227051,0.0,1.0,0.0,209.10031860405022,3.9698708057403564,7796.089744911349,146.5052490234375,0,,,8.941084914207458,0.0,0.0,0.0,0.0,0.8163637689464773,12.249441217736873,2.824265097184582,3,,,,,,,,,,,,342.07733154296875,1039.5625166204752,0.9836105511539194,0.00016201490403872491,1.485334038734436,0.6732491850852966,6,8.874852017760276,0.07192272081082696,0.06502642300937841
0.10535276412963868,0.05604734271764755,,0.003703703703703704,0.122,"[336.7642822265625, 162.21131896972656, 239.70263671875]",0.3245594799518585,358.0578918457031,16.800731658935547,0.0,1.0,0.0,0.0,16.71946144104004,7793.629837317955,146.50521850585938,0,,,37.549635257720944,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10505267143249512,0.05214675888419151,,0.003703703703703704,0.1221,"[308.0764465332031, 188.2945556640625, 210.55499267578125]",0.30553850531578064,358.02752685546875,18.080921173095703,0.0,1.0,0.0,0.0,17.96998405456543,7790.210302134399,146.49697875976562,0,,,40.41085882186889,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10754331588745117,0.04951857402920723,,0.003703703703703704,0.1222,"[318.8271484375, 191.83132934570312, 228.03126525878906]",0.31905844807624817,357.9928894042969,17.94115447998047,0.0,1.0,0.0,0.0,17.822633743286133,7786.3810423821615,146.48956298828125,0,,,40.09848026275635,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10766952514648437,0.04804972931742668,,0.003703703703703704,0.1222,"[321.0059814453125, 217.80789184570312, 235.58758544921875]",0.3318667411804199,357.9556884765625,17.891345977783203,0.0,1.0,0.0,0.0,17.774728775024414,7782.366622734028,146.48226928710938,0,,,39.98715826034546,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11077908515930175,0.04872589558362961,,0.003703703703703704,0.122,"[294.9141845703125, 232.1056671142578, 252.54527282714844]",0.330819696187973,357.9141540527344,17.941606521606445,0.0,1.0,0.0,0.0,17.8150691986084,7777.982658379616,146.4709930419922,0,,,40.099490575790405,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.11024375915527344,0.04951311647891998,,0.003703703703703704,0.122,"[293.003662109375, 236.0265655517578, 256.87530517578125]",0.3332228660583496,357.8692932128906,17.941848754882812,0.0,1.0,0.0,0.0,17.816476821899414,7773.304740395195,146.4569091796875,0,,,40.10003196716308,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10779609680175781,0.051905058324337006,,0.003703703703703704,0.1223,"[285.6466369628906, 262.5928955078125, 275.84893798828125]",0.34827324748039246,357.8208923339844,17.942115783691406,0.0,1.0,0.0,0.0,17.822294235229492,7768.263909072864,146.43951416015625,0,,,40.10062877655029,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.1074619483947754,0.05203505605459213,,0.003703703703703704,0.1223,"[281.77960205078125, 270.0645446777344, 286.4102783203125]",0.35421815514564514,357.76885986328125,17.942310333251953,0.0,1.0,0.0,0.0,17.823444366455078,7762.899656333175,146.41973876953125,0,,,40.101063594818115,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.10747911453247071,0.05068671703338623,,0.003703703703703704,0.1222,"[275.78448486328125, 282.612548828125, 282.7364807128906]",0.3554127812385559,357.7139892578125,17.942506790161133,0.0,1.0,0.0,0.0,17.82427215576172,7757.367882990747,146.3973388671875,0,,,40.10150267601013,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
