alpha,nematic_S,theta,theta_prime,silhouette_2d,angular_momentum,normalized_angular_momentum,dispersion,speed_avg,force_avg,jamming_index,power_avg,local_spacing,velocity_deviation,boundary_overshoot,altitude_deviation,collisions_this_step,target_dist_min,target_dist_max,speed_real_ms,accel_real_ms2,force_real_N,power_real_W,energy_J,h2,r_nodal,r_per_m,m_star_sensing,tau_rho,theta_accel_correlation,theta_accel_peak_lag,hull_volume,density_rho,msd,msd_slope,msd_crossover,msd_curve,gyration_radius,r_max,psky_meanfield,marginal_opacity_density,aspect_ratio,thickness_ratio,optimal_m,suggested_m,eta_m,convergence_speed
0.10736459732055664,0.061376675963401794,,0.003703703703703704,0.1213,"[27.509382247924805, 0.022268066182732582, 40.222373962402344]",0.0371430404484272,347.69976806640625,3.0506865978240967,0.1499999761581421,1.5894571936403423e-07,0.45539185404777527,188.8470775405091,3.0276880264282227,15199.544358228452,97.67037963867188,0,,,6.818284546136856,39.999993642171226,2.999999523162842,20.356011199951173,0.33926685333251955,0.8757139606013381,11.41925383162005,2.7524289597649307,3,,,,,,,,,,327.98828125,1120.3150849771014,0.982185145350659,0.00016201490403872491,2.404585123062134,0.41587215662002563,5,7.16044874548912,0.1676687902205825,0.04419739133988139
0.1075287914276123,0.061983637511730194,,0.003703703703703704,0.1213,"[26.18500328063965, 0.17302429676055908, 38.50755310058594]",0.03549492359161377,347.6971435546875,2.9014055728912354,0.1499999761581421,1.5894571936403423e-07,0.43297988176345825,0.0,2.8794608116149902,15199.268252814785,97.66943359375,0,,,6.484641455411911,39.999993642171226,2.999999523162842,19.354197692871093,0.32256996154785156,,,,,,,,,,,,,,,,,,,,,,,
0.10770591735839843,0.06267520040273666,,0.003703703703703704,0.1213,"[24.860523223876953, 0.32371580600738525, 36.792823791503906]",0.03384748101234436,347.6947021484375,2.752164363861084,0.1499999761581421,1.5894571936403423e-07,0.41055649518966675,0.0,2.7312734127044678,15199.003615888952,97.66850280761719,0,,,6.1510873532295225,39.999993642171226,2.999999523162842,18.351878356933593,0.30586463928222657,,,,,,,,,,,,,,,,,,,,,,,
0.10789627075195313,0.06345711648464203,,0.003703703703703704,0.1213,"[23.535818099975586, 0.4743273854255676, 35.07814025878906]",0.032200735062360764,347.6923828125,2.602970600128174,0.1499999761581421,1.5894571936403423e-07,0.3881223201751709,0.0,2.5831356048583984,15198.750963231652,97.66763305664062,0,,,5.8176392912864685,39.999993642171226,2.999999523162842,17.34906578063965,0.28915109634399416,,,,,,,,,,,,,,,,,,,,,,,
0.10809988021850586,0.06433402746915817,,0.003703703703703704,0.1213,"[22.210914611816406, 0.6248321533203125, 33.36359405517578]",0.030554896220564842,347.6900634765625,2.4538347721099854,0.1499999761581421,1.5894571936403423e-07,0.3656778633594513,0.0,2.435058116912842,15198.50998797575,97.66681671142578,0,,,5.484320715665817,39.999993642171226,2.999999523162842,16.345798873901366,0.27242998123168943,,,,,,,,,,,,,,,,,,,,,,,
0.10831629753112793,0.06530856341123581,,0.003703703703703704,0.1213,"[20.885778427124023, 0.7751684784889221, 31.649124145507812]",0.028910068795084953,347.68792724609375,2.3047688007354736,0.1499999761581421,1.5894571936403423e-07,0.34322401881217957,0.0,2.2870523929595947,15198.280466512559,97.6660385131836,0,,,5.151158269643783,39.999993642171226,2.999999523162842,15.3421085357666,0.25570180892944333,,,,,,,,,,,,,,,,,,,,,,,
0.10854448318481445,0.06638066470623016,,0.003703703703703704,0.1213,"[19.560314178466797, 0.9254443645477295, 29.934864044189453]",0.027266494929790497,347.6859436035156,2.1557838916778564,0.1499999761581421,1.5894571936403423e-07,0.3207615613937378,0.0,2.139132261276245,15198.062784647402,97.66527557373047,0,,,4.818176997900009,39.999993642171226,2.999999523162842,14.338042831420898,0.23896738052368163,,,,,,,,,,,,,,,,,,,,,,,
0.10878256797790527,0.06754569709300995,,0.003703703703703704,0.1213,"[18.23454475402832, 1.0754876136779785, 28.220703125]",0.025624366477131844,347.6839904785156,2.006895065307617,0.1499999761581421,1.5894571936403423e-07,0.2982916235923767,0.0,1.9913122653961182,15197.856692190628,97.66458892822266,0,,,4.485410470962524,39.999993642171226,2.999999523162842,13.333640670776367,0.22222734451293943,,,,,,,,,,,,,,,,,,,,,,,
0.10902774810791016,0.06879256665706635,,0.003703703703703704,0.1213,"[16.908451080322266, 1.225396990776062, 26.5067195892334]",0.023984046652913094,347.68218994140625,1.8581165075302124,0.1499999761581421,1.5894571936403423e-07,0.2758154571056366,0.0,1.8436092138290405,15197.662153103221,97.66393280029297,0,,,4.152890394330025,39.999993642171226,2.999999523162842,12.328947830200194,0.2054824638366699,,,,,,,,,,,,,,,,,,,,,,,
0.10927590370178222,0.07010239362716675,,0.003703703703703704,0.1213,"[15.581977844238281, 1.3751410245895386, 24.79291534423828]",0.022345928475260735,347.6805114746094,1.7094638347625732,0.1499999761581421,1.5894571936403423e-07,0.25333380699157715,0.0,1.6960406303405762,15197.478694252202,97.66329956054688,0,,,3.820651670694351,39.999993642171226,2.999999523162842,11.324020385742188,0.18873367309570313,,,,,,,,,,,,,,,,,,,,,,,
0.10952157974243164,0.07144587486982346,,0.003703703703703704,0.1213,"[14.255141258239746, 1.524689793586731, 23.079282760620117]",0.020710553973913193,347.6788330078125,1.5609549283981323,0.1499999761581421,1.5894571936403423e-07,0.23084785044193268,0.0,1.5486260652542114,15197.306837302367,97.66273498535156,0,,,3.4887342649698256,39.999993642171226,2.999999523162842,10.318898391723632,0.17198163986206053,,,,,,,,,,,,,,,,,,,,,,,
0.10975791931152344,0.07278256863355637,,0.003703703703703704,0.1213,"[12.927935600280762, 1.6740689277648926, 21.3658447265625]",0.019078664481639862,347.6773681640625,1.4126067161560059,0.1499999761581421,1.5894571936403423e-07,0.2083583027124405,0.0,1.4013850688934326,15197.146429934997,97.6622085571289,0,,,3.157176010608673,39.999993642171226,2.999999523162842,9.31361846923828,0.15522697448730466,,,,,,,,,,,,,,,,,,,,,,,
0.10997675895690918,0.07406029105186462,,0.003703703703703704,0.1213,"[11.600332260131836, 1.8232148885726929, 19.652570724487305]",0.017451222985982895,347.67596435546875,1.2644380331039429,0.1499999761581421,1.5894571936403423e-07,0.18586616218090057,0.0,1.254339575767517,15196.997399662654,97.6617202758789,0,,,2.8260190039873123,39.999993642171226,2.999999523162842,8.308217811584472,0.1384702968597412,,,,,,,,,,,,,,,,,,,,,,,
0.11016912460327148,0.07521755993366241,,0.003703703703703704,0.1213,"[11.177990913391113, 1.8832643032073975, 19.07221031188965]",0.01691235974431038,347.6746826171875,1.2144654989242554,0.1499999761581421,1.5894571936403423e-07,0.1780720204114914,0.0,1.2047256231307983,15196.85206781646,97.66126251220703,0,,,2.7143303900957108,39.999993642171226,2.999999523162842,7.959819030761718,0.1326636505126953,,,,,,,,,,,,,,,,,,,,,,,
0.11032597541809082,0.07618829607963562,,0.003703703703703704,0.1213,"[11.208020210266113, 1.8986445665359497, 19.05841064453125]",0.0169159397482872,347.67327880859375,1.2137051820755005,0.1499999761581421,1.5894571936403423e-07,0.17762638628482819,0.0,1.2039400339126587,15196.706889823654,97.66077423095703,0,,,2.7126310819387434,39.999993642171226,2.999999523162842,7.939898300170898,0.13233163833618164,,,,,,,,,,,,,,,,,,,,,,,
0.11043915748596192,0.07690901309251785,,0.003703703703703704,0.1213,"[11.237532615661621, 1.9137451648712158, 19.044845581054688]",0.01691949926316738,347.6719665527344,1.2131701707839966,0.1499999761581421,1.5894571936403423e-07,0.1771797239780426,0.0,1.2033871412277222,15196.561868175502,97.66029357910156,0,,,2.711435331702232,39.999993642171226,2.999999523162842,7.9199323654174805,0.131998872756958,,,,,,,,,,,,,,,,,,,,,,,
0.11050272941589355,0.07732775062322617,,0.003703703703703704,0.1213,"[11.266287803649902, 1.9284679889678955, 19.03162384033203]",0.01692301034927368,347.6705322265625,1.2128705978393555,0.1499999761581421,1.5894571936403423e-07,0.17674316465854645,0.0,1.2030773162841797,15196.41700584762,97.6598129272461,0,,,2.7107657861709593,39.999993642171226,2.999999523162842,7.900418472290038,0.13167364120483396,,,,,,,,,,,,,,,,,,,,,,,
0.11051440238952637,0.07741259038448334,,0.003703703703703704,0.1212,"[11.293390274047852, 1.942320704460144, 19.019149780273438]",0.016926350072026253,347.669189453125,1.2128112316131592,0.1499999761581421,1.5894571936403423e-07,0.17685799300670624,0.0,1.2030161619186401,15196.272320028991,97.65934753417969,0,,,2.7106331026554105,39.999993642171226,2.999999523162842,7.905552291870117,0.13175920486450193,,,,,,,,,,,,,,,,,,,,,,,
0.11050162315368653,0.07732918858528137,,0.003703703703703704,0.1212,"[11.264350891113281, 1.927467703819275, 19.032501220703125]",0.016922909766435623,347.6678466796875,1.2128701210021973,0.1499999761581421,1.5894571936403423e-07,0.176734060049057,0.0,1.2030771970748901,15196.127615482805,97.65885925292969,0,,,2.7107647204399106,39.999993642171226,2.999999523162842,7.900012207031249,0.13166687011718747,,,,,,,,,,,,,,,,,,,,,,,
0.11051429748535156,0.07741222530603409,,0.003703703703703704,0.121,"[11.294053077697754, 1.942663311958313, 19.018848419189453]",0.01692657545208931,347.6665344238281,1.2128115892410278,0.1499999761581421,1.5894571936403423e-07,0.17666979134082794,0.0,1.2030165195465088,15195.983105944873,97.65840148925781,0,,,2.710633901953697,39.999993642171226,2.999999523162842,7.897139167785644,0.13161898612976072,,,,,,,,,,,,,,,,,,,,,,,
